timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:34.127,282,178.41,179.68,178.26,170.25
2026-05-25T19:48:34.230,283,178.55,179.99,178.2,170.28
2026-05-25T19:48:34.327,284,176.86,177.71,177.35,168.93
2026-05-25T19:48:34.436,285,178.03,179.18,178.51,169.5
2026-05-25T19:48:34.543,286,178.57,179.18,179.04,169.62
2026-05-25T19:48:34.664,287,178.19,173.19,177.74,166.25
2026-05-25T19:48:34.870,288,178.34,175.68,178.29,168.21
2026-05-25T19:48:34.984,289,179.22,177.73,179.34,169.46
2026-05-25T19:48:35.194,290,179.6,179.17,179.48,170.33
2026-05-25T19:48:35.346,291,179.42,179.57,179.47,171.83
2026-05-25T19:48:35.504,292,178.76,179.79,178.49,170.9
2026-05-25T19:48:35.689,293,178.7,179.16,178.39,170.72
2026-05-25T19:48:35.840,294,178.55,179.17,178.73,169.85
2026-05-25T19:48:35.940,295,179.53,179.5,178.88,169.7
2026-05-25T19:48:36.064,296,179.84,179.18,179.09,169.56
2026-05-25T19:48:36.194,297,179.35,179.78,179.1,170.01
2026-05-25T19:48:36.315,298,179.68,179.3,178.94,170.26
2026-05-25T19:48:36.443,299,179.63,179.58,179.23,171.01
2026-05-25T19:48:36.590,300,178.84,178.82,177.67,169.34
2026-05-25T19:48:36.692,301,178.68,178.67,177.51,169.58
2026-05-25T19:48:36.798,302,178.55,177.55,177.44,169.47
2026-05-25T19:48:36.902,303,178.41,178.21,177.3,169.94
2026-05-25T19:48:37.000,304,178.08,178.53,177.25,169.78
2026-05-25T19:48:37.091,305,178.78,178.53,177.17,169.93
2026-05-25T19:48:37.202,306,179.24,179.0,177.3,170.15
2026-05-25T19:48:37.340,307,179.08,179.0,177.15,170.21
2026-05-25T19:48:37.457,308,179.9,178.06,176.08,168.56
2026-05-25T19:48:37.584,309,179.77,178.36,176.56,168.92
2026-05-25T19:48:37.961,310,179.57,178.36,176.36,168.5
2026-05-25T19:48:38.116,311,179.21,178.03,176.82,169.15
2026-05-25T19:48:38.226,312,179.38,177.73,176.82,168.81
2026-05-25T19:48:38.319,313,179.07,177.71,176.8,168.97
2026-05-25T19:48:38.448,314,178.68,177.31,176.85,168.8
2026-05-25T19:48:38.655,315,177.86,176.04,176.37,168.31
2026-05-25T19:48:38.810,316,178.57,177.88,177.51,170.34
2026-05-25T19:48:38.908,317,178.45,178.2,177.83,170.54
2026-05-25T19:48:39.023,318,179.32,178.65,179.74,171.73
2026-05-25T19:48:39.183,319,179.18,178.97,179.49,172.55
2026-05-25T19:48:39.573,320,179.5,179.61,179.64,172.54
2026-05-25T19:48:39.680,321,178.82,179.67,177.57,171.23
2026-05-25T19:48:39.780,322,179.13,179.84,177.94,171.43
2026-05-25T19:48:39.884,323,178.73,179.85,177.62,170.88
2026-05-25T19:48:40.207,324,178.48,179.63,177.43,170.18
2026-05-25T19:48:40.316,325,178.52,179.81,177.74,170.36
2026-05-25T19:48:40.421,326,179.41,179.84,178.04,170.3
2026-05-25T19:48:40.537,327,179.59,179.5,178.65,170.92
2026-05-25T19:48:40.705,328,179.97,179.69,178.2,171.57
